"","DB_identifier","Sec_identifier","GeneSymbol","Transcript_DB_identifier","Transcript_length","Organism name","log_FC","num_assign","log10_FC"
"27","FBgn0004893","CG10021","bowl","FBtr0077491",3424,"Drosophila melanogaster",-0.0250619221977182,14,-0.00754439033050991
"28","FBgn0004893","CG10021","bowl","FBtr0077492",3630,"Drosophila melanogaster",0.0592249242842477,14,0.017828478700487
"29","FBgn0004893","CG10021","bowl","FBtr0077493",3485,"Drosophila melanogaster",0.00041403215691993,14,0.000124636098402853
"30","FBgn0004893","CG10021","bowl","FBtr0307027",3507,"Drosophila melanogaster",0.00949280665394703,14,0.00285761954587693
"31","FBgn0004893","CG10021","bowl","FBtr0307028",3394,"Drosophila melanogaster",-0.0377580590562019,14,-0.0113663083539683
"32","FBgn0004893","CG10021","bowl","FBtr0307029",3435,"Drosophila melanogaster",-0.0204345248934015,14,-0.00615140494005617
"33","FBgn0020440","CG10023","Fak","FBtr0086542",4713,"Drosophila melanogaster",0.0186912137083635,15,0.00562661598158343
"34","FBgn0020440","CG10023","Fak","FBtr0086543",4499,"Drosophila melanogaster",-0.0483501007279425,15,-0.0145548306124854
"35","FBgn0020440","CG10023","Fak","FBtr0086544",4240,"Drosophila melanogaster",-0.133890202856426,15,-0.0403049671853197
"36","FBgn0020440","CG10023","Fak","FBtr0114605",5613,"Drosophila melanogaster",0.270817591654952,15,0.0815242184416203
"37","FBgn0020440","CG10023","Fak","FBtr0301882",4707,"Drosophila melanogaster",0.0168533853822659,15,0.00507337452854673
"38","FBgn0020440","CG10023","Fak","FBtr0301883",4142,"Drosophila melanogaster",-0.167626914086476,15,-0.0504607292206183
"39","FBgn0032785","CG10026","CG10026","FBtr0081236",1585,"Drosophila melanogaster",0.21346959742071,16,0.0642607519859482
"40","FBgn0032785","CG10026","CG10026","FBtr0081237",1533,"Drosophila melanogaster",0.165344454052718,16,0.0497736402865527
"41","FBgn0032785","CG10026","CG10026","FBtr0081238",1207,"Drosophila melanogaster",-0.179587566851037,16,-0.0540612444704731
"42","FBgn0032785","CG10026","CG10026","FBtr0332317",1143,"Drosophila melanogaster",-0.258187839391582,16,-0.0777222841725407
"43","FBgn0037498","CG10029","CG10029","FBtr0081591",1380,"Drosophila melanogaster",0,17,0
"45","FBgn0031563","CG10031","CG10031","FBtr0077544",577,"Drosophila melanogaster",0,18,0
"46","FBgn0000721","CG10033","for","FBtr0089304",4595,"Drosophila melanogaster",0.192977027936633,19,0.0580918738830127
"47","FBgn0000721","CG10033","for","FBtr0089306",4338,"Drosophila melanogaster",0.10994221943251,19,0.033095905839057
"48","FBgn0000721","CG10033","for","FBtr0089307",3778,"Drosophila melanogaster",-0.0894651318513944,19,-0.0269316882533026
"49","FBgn0000721","CG10033","for","FBtr0089308",4218,"Drosophila melanogaster",0.0694712615539288,19,0.0209129335643503
"50","FBgn0000721","CG10033","for","FBtr0089309",3826,"Drosophila melanogaster",-0.0712509598936517,19,-0.0214486761478403
"51","FBgn0000721","CG10033","for","FBtr0089310",4316,"Drosophila melanogaster",0.102607031248253,19,0.0308877941717558
"52","FBgn0000721","CG10033","for","FBtr0089312",4581,"Drosophila melanogaster",0.188574729278244,19,0.0567666499369661
"53","FBgn0000721","CG10033","for","FBtr0100363",3886,"Drosophila melanogaster",-0.0488019326544187,19,-0.0146908455753536
"54","FBgn0000721","CG10033","for","FBtr0301399",3223,"Drosophila melanogaster",-0.318683645180219,19,-0.0959333363267829
"55","FBgn0000721","CG10033","for","FBtr0446099",3436,"Drosophila melanogaster",-0.226357797101301,19,-0.0681404866799129
"56","FBgn0000964","CG10034","tj","FBtr0301669",3492,"Drosophila melanogaster",0,20,0
"57","FBgn0000964","CG10034","tj","FBtr0329891",3492,"Drosophila melanogaster",0,20,0
"58","FBgn0038028","CG10035","CG10035","FBtr0082606",972,"Drosophila melanogaster",-0.48775734319943,21,-0.146829590908399
"59","FBgn0038028","CG10035","CG10035","FBtr0344387",1754,"Drosophila melanogaster",0.363863185639524,21,0.109533733195348
"60","FBgn0015524","CG10036","otp","FBtr0110772",2347,"Drosophila melanogaster",-0.177350528847022,22,-0.0533878289298242
"61","FBgn0015524","CG10036","otp","FBtr0290289",2961,"Drosophila melanogaster",0.157916119807361,22,0.0475374888608826
"62","FBgn0015524","CG10036","otp","FBtr0342795",2473,"Drosophila melanogaster",-0.101906130980256,22,-0.0306768021671191
"63","FBgn0015524","CG10036","otp","FBtr0342796",2326,"Drosophila melanogaster",-0.190317273896975,22,-0.0572912081359869
"64","FBgn0015524","CG10036","otp","FBtr0342797",2452,"Drosophila melanogaster",-0.114209391679411,22,-0.034380452682039
"65","FBgn0015524","CG10036","otp","FBtr0342798",2835,"Drosophila melanogaster",0.0951803644593987,22,0.0286521447005086
"66","FBgn0015524","CG10036","otp","FBtr0342799",2856,"Drosophila melanogaster",0.105827608658906,22,0.0318572845757203
"67","FBgn0015524","CG10036","otp","FBtr0342800",2982,"Drosophila melanogaster",0.16811188691325,22,0.0506067205885592
"68","FBgn0086680","CG10037","vvl","FBtr0076944",4380,"Drosophila melanogaster",-0.0263715964925257,23,-0.00793864157779689
"69","FBgn0086680","CG10037","vvl","FBtr0330059",4380,"Drosophila melanogaster",-0.0263715964925257,23,-0.00793864157779689
"70","FBgn0086680","CG10037","vvl","FBtr0345911",4784,"Drosophila melanogaster",0.100914923217044,23,0.0303784188984579
"71","FBgn0086680","CG10037","vvl","FBtr0346998",4380,"Drosophila melanogaster",-0.0263715964925257,23,-0.00793864157779689
"72","FBgn0086680","CG10037","vvl","FBtr0346999",4380,"Drosophila melanogaster",-0.0263715964925257,23,-0.00793864157779689
"73","FBgn0038013","CG10038","CG10038","FBtr0082614",1134,"Drosophila melanogaster",-0.0487823730862811,24,-0.0146849575586416
"74","FBgn0038013","CG10038","CG10038","FBtr0082615",1212,"Drosophila melanogaster",0.0471866854444425,24,0.014204607714738
"75","FBgn0004635","CG1004","rho","FBtr0072694",2531,"Drosophila melanogaster",-0.127832834605242,25,-0.0384815176469302
"76","FBgn0004635","CG1004","rho","FBtr0333207",3000,"Drosophila melanogaster",0.117422158667317,25,0.0353475919144781
"77","FBgn0038014","CG10041","CG10041","FBtr0082613",952,"Drosophila melanogaster",0,26,0
"78","FBgn0038016","CG10042","MBD-R2","FBtr0082611",3864,"Drosophila melanogaster",0,27,0
"79","FBgn0015803","CG10043","RtGEF","FBtr0081356",3336,"Drosophila melanogaster",-0.212935575938243,28,-0.0640999955013966
"80","FBgn0015803","CG10043","RtGEF","FBtr0081357",2976,"Drosophila melanogaster",-0.377680338274875,28,-0.113693110593256
"81","FBgn0015803","CG10043","RtGEF","FBtr0112885",4194,"Drosophila melanogaster",0.117271996713686,28,0.0353023886622275
"82","FBgn0015803","CG10043","RtGEF","FBtr0302106",2995,"Drosophila melanogaster",-0.368498861706758,28,-0.110929210741767
"83","FBgn0015803","CG10043","RtGEF","FBtr0336747",5284,"Drosophila melanogaster",0.450575601863923,28,0.135636771475392
"84","FBgn0015803","CG10043","RtGEF","FBtr0336748",3938,"Drosophila melanogaster",0.0264082465186473,28,0.00794967433500204
"85","FBgn0015803","CG10043","RtGEF","FBtr0336749",4343,"Drosophila melanogaster",0.167637088070988,28,0.0504637918951318
"86","FBgn0001149","CG10045","GstD1","FBtr0082607",825,"Drosophila melanogaster",-0.0156532643114851,29,-0.00471210208781381
"87","FBgn0001149","CG10045","GstD1","FBtr0100410",843,"Drosophila melanogaster",0.0154852474974199,29,0.00466152398700359
"88","FBgn0028400","CG10047","Syt4","FBtr0081578",3103,"Drosophila melanogaster",0,30,0
"89","FBgn0037492","CG10050","CG10050","FBtr0081577",1894,"Drosophila melanogaster",0,31,0
"90","FBgn0034437","CG10051","CG10051","FBtr0086521",2768,"Drosophila melanogaster",0,32,0
"91","FBgn0020617","CG10052","Rx","FBtr0342783",3267,"Drosophila melanogaster",0,33,0
"92","FBgn0037490","CG10053","CG10053","FBtr0081576",856,"Drosophila melanogaster",-0.102454064887889,34,-0.0308417467089583
"93","FBgn0037490","CG10053","CG10053","FBtr0339734",982,"Drosophila melanogaster",0.0956581630256572,34,0.0287959764008381
"94","FBgn0037482","CG10055","CG10055","FBtr0081605",2422,"Drosophila melanogaster",0,35,0
"95","FBgn0037481","CG10059","MAGE","FBtr0081606",943,"Drosophila melanogaster",0,36,0
"96","FBgn0001104","CG10060","Galphai","FBtr0076934",2067,"Drosophila melanogaster",0,37,0
"97","FBgn0011020","CG10061","Sas-4","FBtr0081569",2802,"Drosophila melanogaster",0,38,0
"98","FBgn0034439","CG10062","CG10062","FBtr0086522",3243,"Drosophila melanogaster",0.0680112647099733,39,0.0204734307207453
"99","FBgn0034439","CG10062","CG10062","FBtr0334005",3261,"Drosophila melanogaster",0.0759966820026321,39,0.0228772808537294
"100","FBgn0034439","CG10062","CG10062","FBtr0334006",2777,"Drosophila melanogaster",-0.155790581926986,39,-0.0468976382019699
"101","FBgn0035727","CG10063","CG10063","FBtr0076935",827,"Drosophila melanogaster",0,40,0
"102","FBgn0035724","CG10064","CG10064","FBtr0076937",2379,"Drosophila melanogaster",0,41,0
"103","FBgn0000044","CG10067","Act57B","FBtr0071519",1724,"Drosophila melanogaster",0,42,0
"104","FBgn0037473","CG10068","CG10068","FBtr0081611",1657,"Drosophila melanogaster",0,43,0
"105","FBgn0034611","CG10069","MFS16","FBtr0071589",2226,"Drosophila melanogaster",-0.0887584812484103,44,-0.026718965225351
"106","FBgn0034611","CG10069","MFS16","FBtr0071590",2399,"Drosophila melanogaster",0.019221083703064,44,0.00578612274379031
"107","FBgn0034611","CG10069","MFS16","FBtr0071591",2563,"Drosophila melanogaster",0.114621404701207,44,0.0345044809602033
"108","FBgn0034611","CG10069","MFS16","FBtr0342884",2281,"Drosophila melanogaster",-0.0535456272782326,44,-0.0161188399473917
"109","FBgn0000575","CG1007","emc","FBtr0072578",2049,"Drosophila melanogaster",0,45,0
"110","FBgn0016726","CG10071","RpL29","FBtr0071592",329,"Drosophila melanogaster",-0.0502732064812239,46,-0.015133743129057
"111","FBgn0016726","CG10071","RpL29","FBtr0071593",389,"Drosophila melanogaster",0.191409364769727,46,0.0576199602466763
"112","FBgn0016726","CG10071","RpL29","FBtr0305669",304,"Drosophila melanogaster",-0.16428946677288,46,-0.0494560574702776
"113","FBgn0261445","CG10072","sgl","FBtr0076938",2275,"Drosophila melanogaster",0,47,0
"114","FBgn0034440","CG10073","CG10073","FBtr0086523",2751,"Drosophila melanogaster",0.00104923280325586,48,0.000315850546214858
"115","FBgn0034440","CG10073","CG10073","FBtr0310321",2747,"Drosophila melanogaster",-0.00104999643709824,48,-0.000316080422906762
"116","FBgn0035722","CG10075","CG10075","FBtr0076939",924,"Drosophila melanogaster",0,49,0
"117","FBgn0003475","CG10076","spir","FBtr0081352",4881,"Drosophila melanogaster",0.357196436377285,50,0.107526841693844
"118","FBgn0003475","CG10076","spir","FBtr0081353",4794,"Drosophila melanogaster",0.331249593632734,50,0.0997160637349577
"119","FBgn0003475","CG10076","spir","FBtr0081354",2666,"Drosophila melanogaster",-0.515303534927426,50,-0.155121820884837
"120","FBgn0003475","CG10076","spir","FBtr0081355",3437,"Drosophila melanogaster",-0.148830463644101,50,-0.0448024338254522
"121","FBgn0003475","CG10076","spir","FBtr0301884",4791,"Drosophila melanogaster",0.33034649811599,50,0.0994442048954678
"122","FBgn0003475","CG10076","spir","FBtr0306556",4875,"Drosophila melanogaster",0.355421903507937,50,0.106992654071878
"123","FBgn0003475","CG10076","spir","FBtr0307893",2669,"Drosophila melanogaster",-0.513681009874432,50,-0.15463339217517
"124","FBgn0003475","CG10076","spir","FBtr0307894",2182,"Drosophila melanogaster",-0.804329213692792,50,-0.242127219710354
"125","FBgn0003475","CG10076","spir","FBtr0339233",2212,"Drosophila melanogaster",-0.784628929781691,50,-0.236196843330017
"126","FBgn0003475","CG10076","spir","FBtr0339234",5598,"Drosophila melanogaster",0.554931171556516,50,0.167050928167466
"127","FBgn0035720","CG10077","CG10077","FBtr0076940",3543,"Drosophila melanogaster",0.00434997420938821,51,0.00130947271739013
"128","FBgn0035720","CG10077","CG10077","FBtr0300937",3634,"Drosophila melanogaster",0.0409369283251912,51,0.0123232433562288
"129","FBgn0035720","CG10077","CG10077","FBtr0333083",3420,"Drosophila melanogaster",-0.046625166135664,51,-0.014035573559652
"130","FBgn0041194","CG10078","Prat2","FBtr0076945",1932,"Drosophila melanogaster",0.0747081895872306,52,0.0224894059875078
"131","FBgn0041194","CG10078","Prat2","FBtr0076946",1737,"Drosophila melanogaster",-0.0787891505381513,52,-0.0237178976448682
"132","FBgn0003731","CG10079","Egfr","FBtr0071653",5698,"Drosophila melanogaster",-0.0529465989270399,53,-0.0159385144454292
"133","FBgn0003731","CG10079","Egfr","FBtr0071654",6124,"Drosophila melanogaster",0.0510720622488972,53,0.0153742226773361
"134","FBgn0034641","CG10080","mahj","FBtr0071658",5200,"Drosophila melanogaster",-0.0201123734640163,54,-0.00605442769666498
"135","FBgn0034641","CG10080","mahj","FBtr0304728",5346,"Drosophila melanogaster",0.0198358408632462,54,0.00597118308905431
"136","FBgn0034441","CG10081","CG10081","FBtr0086524",2738,"Drosophila melanogaster",0.00158161357798114,55,0.000476113128521582
"137","FBgn0034441","CG10081","CG10081","FBtr0334007",2732,"Drosophila melanogaster",-0.00158334938982918,55,-0.000476635659954816
"138","FBgn0034644","CG10082","CG10082","FBtr0071661",4001,"Drosophila melanogaster",0.235674776161382,56,0.0709451768459708
"139","FBgn0034644","CG10082","CG10082","FBtr0071662",2795,"Drosophila melanogaster",-0.281837569453668,56,-0.0848415623105847
"140","FBgn0036372","CG10083","Abp1","FBtr0075819",2500,"Drosophila melanogaster",0,57,0
"141","FBgn0002044","CG10084","swm","FBtr0081244",4005,"Drosophila melanogaster",-0.0200327846282526,58,-0.00603046906978078
"142","FBgn0002044","CG10084","swm","FBtr0081245",4114,"Drosophila melanogaster",0.0187067666006087,58,0.00563129786866812
"143","FBgn0002044","CG10084","swm","FBtr0331325",4151,"Drosophila melanogaster",0.0316239046792823,58,0.00951974388848242
"144","FBgn0002044","CG10084","swm","FBtr0331326",3974,"Drosophila melanogaster",-0.0312431546746552,58,-0.00940512671624072
"145","FBgn0037517","CG10086","CG10086","FBtr0081744",1864,"Drosophila melanogaster",0,59,0
"146","FBgn0036369","CG10089","CG10089","FBtr0075820",2045,"Drosophila melanogaster",0.0595307162375196,60,0.0179205312508541
"147","FBgn0036369","CG10089","CG10089","FBtr0075821",1518,"Drosophila melanogaster",-0.370398336176125,60,-0.111501009533045
"148","FBgn0036369","CG10089","CG10089","FBtr0075822",1569,"Drosophila melanogaster",-0.322724774623493,60,-0.0971498375055697
"149","FBgn0036369","CG10089","CG10089","FBtr0075823",1070,"Drosophila melanogaster",-0.874959330303081,60,-0.263389003407297
"150","FBgn0036369","CG10089","CG10089","FBtr0331535",3283,"Drosophila melanogaster",0.74244462298139,60,0.223498101636834
"151","FBgn0036369","CG10089","CG10089","FBtr0345364",2289,"Drosophila melanogaster",0.222147335964095,60,0.0668730115820364
"152","FBgn0261243","CG1009","Psa","FBtr0072697",3698,"Drosophila melanogaster",0.00341766895971141,61,0.00102882087212253
"153","FBgn0261243","CG1009","Psa","FBtr0072698",3659,"Drosophila melanogaster",-0.0118781401053969,61,-0.00357567646442414
"154","FBgn0261243","CG1009","Psa","FBtr0072699",3781,"Drosophila melanogaster",0.0354402935427505,61,0.0106685914115041
"155","FBgn0261243","CG1009","Psa","FBtr0072700",3916,"Drosophila melanogaster",0.0860532091592106,61,0.0259045971800687
"156","FBgn0261243","CG1009","Psa","FBtr0072701",3715,"Drosophila melanogaster",0.0100346549814745,61,0.00302073214556264
"157","FBgn0261243","CG1009","Psa","FBtr0072702",3452,"Drosophila melanogaster",-0.095895091265529,61,-0.0288672989078598
"158","FBgn0261243","CG1009","Psa","FBtr0306557",3628,"Drosophila melanogaster",-0.0241530999159618,61,-0.00727080756297394
"159","FBgn0261243","CG1009","Psa","FBtr0333395",3665,"Drosophila melanogaster",-0.00951435742330986,61,-0.00286410697388462
"160","FBgn0038018","CG10090","Tim17a1","FBtr0082610",1014,"Drosophila melanogaster",0.0857298740258852,62,0.0258072636062856
"161","FBgn0038018","CG10090","Tim17a1","FBtr0344388",897,"Drosophila melanogaster",-0.0911478880581953,62,-0.0274382483469395
"162","FBgn0038020","CG10091","GstD9","FBtr0082608",775,"Drosophila melanogaster",-0.0102023218163083,63,-0.0030712048921262
"163","FBgn0038020","CG10091","GstD9","FBtr0344263",786,"Drosophila melanogaster",0.0101306802806977,63,0.00304963864097152
"164","FBgn0037526","CG10092","ArgRS-m","FBtr0081752",1934,"Drosophila melanogaster",-0.275537139635171,64,-0.0829449439496415
"165","FBgn0037526","CG10092","ArgRS-m","FBtr0333826",2748,"Drosophila melanogaster",0.231257069706087,64,0.0696153146908882
"166","FBgn0038007","CG10093","Cyp313a3","FBtr0082617",1777,"Drosophila melanogaster",0,65,0
"167","FBgn0038006","CG10094","Cyp313a2","FBtr0308561",1577,"Drosophila melanogaster",0,66,0
"168","FBgn0037993","CG10095","dpr15","FBtr0082549",3490,"Drosophila melanogaster",0.00331083344591399,67,0.000996660177867259
"169","FBgn0037993","CG10095","dpr15","FBtr0339647",3474,"Drosophila melanogaster",-0.00331844894070876,67,-0.000998952670232534
"170","FBgn0038032","CG10096","CG10096","FBtr0082603",4716,"Drosophila melanogaster",0.415037499278844,68,0.1249387366083
"171","FBgn0038032","CG10096","CG10096","FBtr0082604",1841,"Drosophila melanogaster",-0.942036592351013,68,-0.283581271310737
"172","FBgn0038032","CG10096","CG10096","FBtr0347002",5233,"Drosophila melanogaster",0.565112039913796,68,0.170115674924914
"173","FBgn0038032","CG10096","CG10096","FBtr0347003",2358,"Drosophila melanogaster",-0.584962500721156,68,-0.176091259055681
"174","FBgn0038033","CG10097","CG10097","FBtr0100525",1754,"Drosophila melanogaster",-1.15319525057983,69,-0.347146361281769
"175","FBgn0038033","CG10097","CG10097","FBtr0344386",4716,"Drosophila melanogaster",0.273719719955201,69,0.0823978461112604
"176","FBgn0038033","CG10097","CG10097","FBtr0347004",5233,"Drosophila melanogaster",0.423794260590153,69,0.127574784427874
"177","FBgn0037472","CG10098","CG10098","FBtr0081563",1532,"Drosophila melanogaster",0,70,0
"178","FBgn0037501","CG10101","Ir84a","FBtr0336955",1935,"Drosophila melanogaster",0,71,0
"179","FBgn0035715","CG10103","CG10103","FBtr0076949",1605,"Drosophila melanogaster",0.115839309897838,72,0.0348711069562651
"180","FBgn0035715","CG10103","CG10103","FBtr0330061",1554,"Drosophila melanogaster",0.069252516295883,72,0.0208470846802693
"181","FBgn0035715","CG10103","CG10103","FBtr0330062",1542,"Drosophila melanogaster",0.0580687778032072,72,0.017480443930312
"182","FBgn0035715","CG10103","CG10103","FBtr0330063",1491,"Drosophila melanogaster",0.00954627017161513,72,0.00287371366836853
"183","FBgn0035715","CG10103","CG10103","FBtr0330064",1506,"Drosophila melanogaster",0.0239877825601003,72,0.00722104208005581
"184","FBgn0035715","CG10103","CG10103","FBtr0330065",1189,"Drosophila melanogaster",-0.316985272366171,72,-0.0954220751659345
"185","FBgn0033933","CG10104","CG10104","FBtr0087486",1514,"Drosophila melanogaster",0,73,0
"186","FBgn0033935","CG10105","Sin1","FBtr0087487",2027,"Drosophila melanogaster",0,74,0
"187","FBgn0029506","CG10106","Tsp42Ee","FBtr0086180",1394,"Drosophila melanogaster",0.00674278974359233,75,0.00202978196727699
"188","FBgn0029506","CG10106","Tsp42Ee","FBtr0336871",1381,"Drosophila melanogaster",-0.0067744518667805,75,-0.00203931321608275
"189","FBgn0035713","CG10107","velo","FBtr0076950",6318,"Drosophila melanogaster",0.50307132048712,76,0.151439557424911
"190","FBgn0035713","CG10107","velo","FBtr0076951",2691,"Drosophila melanogaster",-0.728254225619336,76,-0.219226366380465
"191","FBgn0035713","CG10107","velo","FBtr0076952",6333,"Drosophila melanogaster",0.506492462808559,76,0.1524694238831
"192","FBgn0035713","CG10107","velo","FBtr0345025",2490,"Drosophila melanogaster",-0.84025087430431,76,-0.252940717048483
"193","FBgn0013725","CG10108","phyl","FBtr0087516",1839,"Drosophila melanogaster",0,77,0
"194","FBgn0024698","CG10110","Cpsf160","FBtr0089257",4504,"Drosophila melanogaster",-0.0536052303954087,78,-0.0161367822734966
"195","FBgn0024698","CG10110","Cpsf160","FBtr0089258",4845,"Drosophila melanogaster",0.0516846078268056,78,0.0155586172699977
"196","FBgn0033942","CG10112","Cpr51A","FBtr0087514",651,"Drosophila melanogaster",0,79,0
"197","FBgn0037502","CG10113","wa-cup","FBtr0301649",1878,"Drosophila melanogaster",0,80,0
"198","FBgn0036367","CG10116","CG10116","FBtr0075824",918,"Drosophila melanogaster",0,81,0
"199","FBgn0265974","CG10117","ttv","FBtr0087495",3994,"Drosophila melanogaster",-0.144470177231872,82,-0.0434898568256847
"200","FBgn0265974","CG10117","ttv","FBtr0333164",6899,"Drosophila melanogaster",0.6440827504866,82,0.193888227586226
"201","FBgn0265974","CG10117","ttv","FBtr0333165",2351,"Drosophila melanogaster",-0.909029971022822,82,-0.273645288235429
"202","FBgn0005626","CG10118","ple","FBtr0076956",2911,"Drosophila melanogaster",-0.172327583282902,83,-0.0518757716484362
"203","FBgn0005626","CG10118","ple","FBtr0076957",3124,"Drosophila melanogaster",-0.0704479692636877,83,-0.0212069518819842
"204","FBgn0005626","CG10118","ple","FBtr0345585",3806,"Drosophila melanogaster",0.214433138868355,83,0.0645508068637546
"205","FBgn0010397","CG10119","LamC","FBtr0087512",2367,"Drosophila melanogaster",-0.025075217852363,84,-0.00754839272136998
"206","FBgn0010397","CG10119","LamC","FBtr0333166",2450,"Drosophila melanogaster",0.0246468253029555,84,0.00741943371407983
"207","FBgn0002719","CG10120","Men","FBtr0082660",2906,"Drosophila melanogaster",0.117340121790463,85,0.0353228963537937
"208","FBgn0002719","CG10120","Men","FBtr0082661",2767,"Drosophila melanogaster",0.0466280627675761,85,0.0140364455327431
"209","FBgn0002719","CG10120","Men","FBtr0330025",2364,"Drosophila melanogaster",-0.180464545664847,85,-0.0543252413989914
"210","FBgn0035710","CG10121","SP1173","FBtr0076958",3571,"Drosophila melanogaster",0.121533122805817,86,0.0365851154312651
"211","FBgn0035710","CG10121","SP1173","FBtr0076959",3661,"Drosophila melanogaster",0.157442762524296,86,0.047394994120014
"212","FBgn0035710","CG10121","SP1173","FBtr0076960",2832,"Drosophila melanogaster",-0.212973745697253,86,-0.0641114857437857
"213","FBgn0035710","CG10121","SP1173","FBtr0076961",3066,"Drosophila melanogaster",-0.0984373141214725,86,-0.0296325842431608
"214","FBgn0019938","CG10122","RpI1","FBtr0087511",5078,"Drosophila melanogaster",0,87,0
"215","FBgn0040268","CG10123","Top3alpha","FBtr0081246",3925,"Drosophila melanogaster",0,88,0
"216","FBgn0035709","CG10124","eIF4E4","FBtr0076963",1031,"Drosophila melanogaster",0,89,0
"217","FBgn0024177","CG10125","zpg","FBtr0076983",1455,"Drosophila melanogaster",-0.0410550682627697,90,-0.0123588070211262
"218","FBgn0024177","CG10125","zpg","FBtr0330185",1539,"Drosophila melanogaster",0.0399190102697933,90,0.0120168194884265
"219","FBgn0038088","CG10126","CG10126","FBtr0082686",907,"Drosophila melanogaster",0.0584298319296579,91,0.0175891320524317
"220","FBgn0038088","CG10126","CG10126","FBtr0082687",835,"Drosophila melanogaster",-0.0608965212374493,91,-0.0183316795240613
"221","FBgn0003742","CG10128","tra2","FBtr0089615",1228,"Drosophila melanogaster",-0.190440582468039,92,-0.0573283277145995
"222","FBgn0003742","CG10128","tra2","FBtr0089616",1460,"Drosophila melanogaster",0.0592172259291619,92,0.0178261612646886
"223","FBgn0003742","CG10128","tra2","FBtr0089617",1376,"Drosophila melanogaster",-0.0262706731361195,92,-0.00790826062025607
"224","FBgn0003742","CG10128","tra2","FBtr0089618",1405,"Drosophila melanogaster",0.00381898727007091,92,0.00114962972135002
"225","FBgn0003742","CG10128","tra2","FBtr0089619",1568,"Drosophila melanogaster",0.16217441627699,92,0.0488193638286711
"226","FBgn0003742","CG10128","tra2","FBtr0089620",1381,"Drosophila melanogaster",-0.0210378235801674,92,-0.00633301594111746
"227","FBgn0003742","CG10128","tra2","FBtr0089621",1391,"Drosophila melanogaster",-0.0106287232959783,92,-0.00319956452770231
"228","FBgn0002926","CG10129","ndl","FBtr0076984",8230,"Drosophila melanogaster",0,93,0
