"","x"
"FBgn0038088",871
"FBgn0003742",1401.28571428571
"FBgn0002926",8230
"FBgn0010638",792
"FBgn0033949",1058
"FBgn0032798",4627.5
"FBgn0036366",1097
"FBgn0038087",2514.33333333333
"FBgn0032800",3227
"FBgn0005778",1279
"FBgn0033951",889.5
"FBgn0028567",671
"FBgn0036363",969
"FBgn0035076",2116
"FBgn0033952",1791
"FBgn0035704",3885
"FBgn0020269",2852.5
"FBgn0012042",790
"FBgn0035702",1983
"FBgn0028689",1700.33333333333
"FBgn0033960",2294.25
"FBgn0039089",3052.5
"FBgn0266723",666
"FBgn0036361",1094
"FBgn0020767",3116.33333333333
"FBgn0039099",712
"FBgn0031871",1767
"FBgn0015602",1307.66666666667
"FBgn0001258",1460.75
"FBgn0040227",2012
"FBgn0035697",1220
"FBgn0039088",2167
"FBgn0032801",1212
"FBgn0032799",810
"FBgn0039087",1856
"FBgn0035294",1682
"FBgn0039085",1764
"FBgn0036353",1728
"FBgn0035696",3547
"FBgn0032680",771
"FBgn0039084",2648.8
"FBgn0032682",1944.5
"FBgn0039083",1438
"FBgn0032684",1935.5
"FBgn0004513",4135
"FBgn0039091",2212
"FBgn0039093",2058
"FBgn0039094",1330
"FBgn0038397",5379
"FBgn0032797",4636.2
"FBgn0032796",5253.33333333333
"FBgn0032793",1333
"FBgn0014863",2617.33333333333
"FBgn0036354",1569
"FBgn0260634",8093
"FBgn0032790",1215
"FBgn0032787",1795.5
"FBgn0001319",3421.8
"FBgn0039120",5674.33333333333
"FBgn0033968",777.5
"FBgn0033969",2059
"FBgn0028554",1745.5
"FBgn0033970",876
"FBgn0026196",1813
"FBgn0016684",2289
"FBgn0039118",1064
"FBgn0033971",2024
"FBgn0037443",3391.4
"FBgn0039117",4076.5
"FBgn0032685",5093.5
"FBgn0027783",3690
"FBgn0039115",970
"FBgn0028434",950
"FBgn0039113",2214.5
"FBgn0039112",894
"FBgn0028475",3154
"FBgn0036356",1203
"FBgn0284220",5088
"FBgn0039110",1768.5
"FBgn0035695",4270.5
"FBgn0264962",4896.28571428571
"FBgn0040208",2612.5
"FBgn0028691",1459
"FBgn0039108",1864
"FBgn0087005",960
"FBgn0024230",1652
"FBgn0002526",11690
"FBgn0032783",1588.8
"FBgn0039280",1420
"FBgn0027514",2315.33333333333
"FBgn0013773",1862.33333333333
"FBgn0015714",1636.5
"FBgn0033978",1761
"FBgn0033979",1798.5
"FBgn0022800",2939
"FBgn0033980",1801
"FBgn0013771",1964
"FBgn0033981",1631
"FBgn0013772",1781
"FBgn0027596",4090.55555555556
"FBgn0002922",1526
"FBgn0043005",2177
"FBgn0039104",833
"FBgn0033983",2403.5
"FBgn0027512",4921.33333333333
"FBgn0033984",4214
"FBgn0033985",1377
"FBgn0267350",6864.5
"FBgn0032813",1034
"FBgn0032812",1711.5
"FBgn0038394",1047
"FBgn0033990",1299
"FBgn0037446",1437.33333333333
"FBgn0032811",1156
"FBgn0022935",3233
"FBgn0022699",2685
"FBgn0035690",3034
"FBgn0032683",8020
"FBgn0037442",3043.75
"FBgn0038391",2982.66666666667
"FBgn0003261",3236.91666666667
"FBgn0260642",4458.90909090909
"FBgn0037395",1080
"FBgn0010282",1938
"FBgn0032681",2950
"FBgn0037439",2151
"FBgn0026077",1571.5
"FBgn0035688",5142
"FBgn0264491",3149
"FBgn0267698",3895.88888888889
"FBgn0037436",837
"FBgn0020765",615
"FBgn0037432",745
"FBgn0003339",4063.5
"FBgn0039107",1484
"FBgn0039106",1000
"FBgn0284256",4457
"FBgn0037412",1519
"FBgn0261597",1060.4
"FBgn0034654",853
"FBgn0034655",1269.5
"FBgn0010317",1474.5
"FBgn0038418",3276
"FBgn0015568",2123
"FBgn0038420",1026
"FBgn0034858",2059
"FBgn0038423",1223
"FBgn0034650",1235
"FBgn0034645",454.4
"FBgn0034643",3322
"FBgn0038454",1811
"FBgn0000014",4555.25
"FBgn0038453",1236
"FBgn0025790",2180
"FBgn0015520",2738.5
"FBgn0260455",739
"FBgn0032690",2656
"FBgn0005672",1551.6
"FBgn0036271",1636
"FBgn0032698",1264.5
"FBgn0032805",1297
"FBgn0032700",2384.5
"FBgn0034972",1963
"FBgn0000166",2309.8
"FBgn0022344",938
"FBgn0032701",1871.5
"FBgn0027109",555.333333333333
"FBgn0032703",843
"FBgn0034729",1161
"FBgn0027562",2423
"FBgn0032705",2276
"FBgn0030342",2001
"FBgn0032707",3244.5
"FBgn0030348",1491
"FBgn0030349",4511.57142857143
"FBgn0031868",3158
"FBgn0035453",1111
"FBgn0035452",1723
"FBgn0003231",2350
"FBgn0036208",1431
"FBgn0030358",3776
"FBgn0041180",4708.5
"FBgn0027949",1366
"FBgn0039109",1563.75
"FBgn0032814",2062
"FBgn0263782",3818
"FBgn0032706",1515.33333333333
"FBgn0028684",1627
"FBgn0039111",889.5
"FBgn0025608",2128.5
"FBgn0032704",1134
"FBgn0039114",1564
"FBgn0039116",973
"FBgn0032702",2500
"FBgn0004838",3912.25
"FBgn0015513",7408
"FBgn0025878",1977
"FBgn0032699",2958
"FBgn0034731",3179
"FBgn0005617",4389
"FBgn0015553",2390
"FBgn0003944",3703.66666666667
"FBgn0014342",2071.33333333333
"FBgn0032693",1658
"FBgn0261403",3577.66666666667
"FBgn0003270",786
"FBgn0033019",1306.5
"FBgn0033020",669.5
"FBgn0031877",1169
"FBgn0038431",929
"FBgn0038426",491
"FBgn0038395",1011
"FBgn0037440",2315
"FBgn0032689",3896.5
"FBgn0032691",2427
"FBgn0015828",1622
"FBgn0033021",2449.5
"FBgn0036277",437
"FBgn0036850",1152.5
"FBgn0039296",1831
"FBgn0000158",1894
"FBgn0039300",708
"FBgn0036848",1233
"FBgn0039304",1402
"FBgn0036273",3092
"FBgn0032724",1921
"FBgn0032730",3012.5
"FBgn0034638",1334
"FBgn0037539",1822
"FBgn0011279",546
"FBgn0016794",3960
"FBgn0034636",2400.5
"FBgn0000464",8107.71428571429
"FBgn0034494",2790
"FBgn0037531",3122
"FBgn0032741",2188
"FBgn0032816",862
"FBgn0002022",1698
"FBgn0033440",1187
"FBgn0004053",1267
"FBgn0034443",497
"FBgn0032815",3131.83333333333
"FBgn0032819",1921
"FBgn0033017",1241
"FBgn0032822",579.5
"FBgn0035679",1544
"FBgn0035678",1067
"FBgn0032746",701
"FBgn0035670",936
"FBgn0263198",2850
"FBgn0034427",1273
"FBgn0035667",905.5
"FBgn0034426",669
"FBgn0035661",1200
"FBgn0035657",1509
"FBgn0035656",1674.5
"FBgn0004054",937.5
"FBgn0002638",2198
"FBgn0032827",2008
"FBgn0035649",2238
"FBgn0035647",2328.5
"FBgn0000625",2821
"FBgn0035644",1688
"FBgn0041342",2507
"FBgn0003984",4580.5
"FBgn0032748",4301.5
"FBgn0032749",3373.5
"FBgn0034634",1977
"FBgn0032750",1371
"FBgn0034631",2753
"FBgn0010415",2717.875
"FBgn0004107",1526.33333333333
"FBgn0000075",1770.5
"FBgn0028427",1238.5
"FBgn0034612",4426
"FBgn0027090",2455
"FBgn0037060",2339
"FBgn0037059",1732
"FBgn0037057",1803.75
"FBgn0039311",1358
"FBgn0039312",1358
"FBgn0036549",1329
"FBgn0003882",2006
"FBgn0015774",6631.71428571429
"FBgn0002466",6078
"FBgn0041100",1619.5
"FBgn0034583",1160
"FBgn0004811",1559.66666666667
"FBgn0020640",476
"FBgn0020638",517
"FBgn0034582",1161
"FBgn0020639",519
"FBgn0020637",543
"FBgn0037926",4050.33333333333
"FBgn0011241",903.333333333333
"FBgn0004244",6973.66666666667
"FBgn0032821",7018
"FBgn0283472",4185.5
"FBgn0034577",1918
"FBgn0035638",1562
"FBgn0086694",3812.5
"FBgn0034570",6327.75
"FBgn0001105",3608.33333333333
"FBgn0035636",1604
"FBgn0039321",1506
"FBgn0039324",1442
"FBgn0030034",4901
"FBgn0039323",1435
"FBgn0087012",3695.8
"FBgn0039325",1367
"FBgn0002036",2052
"FBgn0039326",1527
"FBgn0086445",1821
"FBgn0024150",5972.2
"FBgn0037051",2387.5
"FBgn0037050",1598.5
"FBgn0037262",901.8
"FBgn0040992",1353
"FBgn0015904",2930
"FBgn0015618",1529
"FBgn0020294",4486
"FBgn0028429",1567.5
"FBgn0035632",1711
"FBgn0035630",1772.66666666667
"FBgn0263106",2038.5
"FBgn0005640",3315.92857142857
"FBgn0022981",2527
"FBgn0011591",1959
"FBgn0037046",587
"FBgn0028402",1643.5
"FBgn0035627",2177
"FBgn0037045",1081
"FBgn0037044",1844.5
"FBgn0037036",883
"FBgn0037039",909.333333333333
"FBgn0037037",3482
"FBgn0037035",1365
"FBgn0087013",4275
"FBgn0035622",2653
"FBgn0035621",1075
"FBgn0035619",1749
"FBgn0016122",2770
"FBgn0003486",2338
"FBgn0015766",2675.75
"FBgn0030832",708
"FBgn0003057",1220
"FBgn0032717",5213.33333333333
"FBgn0014343",3601
"FBgn0032721",2189.33333333333
"FBgn0032720",671
"FBgn0000529",1757.5
"FBgn0015919",4317
"FBgn0037324",1836
"FBgn0028436",1330
"FBgn0037322",1362
"FBgn0036286",1754.66666666667
"FBgn0261085",4821.5
"FBgn0045761",1463
"FBgn0003896",2945
"FBgn0036299",2884
"FBgn0032726",1413.33333333333
"FBgn0029118",1559
"FBgn0032727",1600.66666666667
"FBgn0010894",2065
"FBgn0035612",2666.3
"FBgn0035610",2930
"FBgn0036298",2202
"FBgn0032818",1254
"FBgn0010051",10198.3333333333
"FBgn0035608",1268
"FBgn0032817",12133
"FBgn0036302",2346.75
"FBgn0035604",2580
"FBgn0035603",543
"FBgn0015772",4750.25
"FBgn0036290",1236
"FBgn0032729",1833.33333333333
"FBgn0011715",1335
"FBgn0035601",1331.33333333333
"FBgn0032731",1744
"FBgn0004380",2529
"FBgn0016031",3305
"FBgn0036292",1377
"FBgn0030067",1386.5
"FBgn0004888",1364.5
"FBgn0046302",1655.5
"FBgn0032853",1036
"FBgn0086710",604.666666666667
"FBgn0001202",2317
"FBgn0036294",1571
"FBgn0002021",1708
"FBgn0036289",1524
"FBgn0014000",896
"FBgn0032839",837
"FBgn0036288",1999
"FBgn0036287",3035.5
"FBgn0032833",864.75
"FBgn0022772",3152
"FBgn0039329",3159
"FBgn0263831",2273
"FBgn0035586",1886
"FBgn0035588",1082
"FBgn0035590",744
"FBgn0035592",478
"FBgn0039328",1450
"FBgn0032725",541.5
"FBgn0032836",1149
"FBgn0036291",1025
"FBgn0264848",1464
"FBgn0004400",1570
"FBgn0086447",572.666666666667
"FBgn0041775",3169.11111111111
"FBgn0086443",2178.5
"FBgn0036300",924
"FBgn0086444",2791
"FBgn0002031",1558
"FBgn0028707",1101.5
"FBgn0003429",5174
"FBgn0039147",968
"FBgn0029878",3588
"FBgn0000422",2270.33333333333
"FBgn0036278",3238
"FBgn0002023",2798.71428571429
"FBgn0261238",5101.30769230769
"FBgn0032754",1753
"FBgn0011661",2526.76923076923
"FBgn0032752",4003.25
"FBgn0037881",2322
"FBgn0036285",2391.5
"FBgn0029761",5047.85714285714
"FBgn0024371",1743.5
"FBgn0036377",2637
"FBgn0086785",1346
"FBgn0044324",3890.6
"FBgn0036360",2534
"FBgn0001256",1182.33333333333
"FBgn0004374",3592
"FBgn0010300",6544.4
"FBgn0013751",2084.75
"FBgn0032846",1556.5
"FBgn0032848",2072.5
"FBgn0032850",1820.5
"FBgn0260049",2242.5
"FBgn0036362",876
"FBgn0014127",2724
"FBgn0003978",1310
"FBgn0032843",2000
"FBgn0034081",906
"FBgn0036365",4738.5
"FBgn0061492",1122.33333333333
"FBgn0034082",1449
"FBgn0034420",3225.14285714286
"FBgn0036368",5098.5
"FBgn0010309",3260.5
"FBgn0037250",1687
"FBgn0036373",1974.5
"FBgn0040334",1539
"FBgn0036376",2774.33333333333
"FBgn0032845",1564.5
"FBgn0036327",1146
"FBgn0036328",1177
"FBgn0032769",1175
"FBgn0024196",527
"FBgn0036325",1774
"FBgn0261933",729
"FBgn0036314",992
"FBgn0015036",1822
"FBgn0032847",628
"FBgn0032849",812
"FBgn0030016",1242
"FBgn0037402",953.666666666667
"FBgn0030015",1253
"FBgn0030011",1545
"FBgn0034221",1700
"FBgn0037405",2302
"FBgn0004509",4234.77777777778
"FBgn0024179",4217
"FBgn0029979",7374.5
"FBgn0029980",1298.5
"FBgn0037255",2418
"FBgn0002933",523
"FBgn0010295",594
"FBgn0010296",267
"FBgn0026592",1521.5
"FBgn0003086",690
"FBgn0029656",1659
"FBgn0034407",449
"FBgn0034626",1100
"FBgn0262656",6325
"FBgn0033821",592
"FBgn0017551",1552
"FBgn0029660",1711.5
"FBgn0029664",1436
"FBgn0029666",3624.4
"FBgn0029663",4300.75
"FBgn0086451",6472
"FBgn0031865",2626.5
"FBgn0033876",2710
"FBgn0036052",2099.5
"FBgn0041191",1142
"FBgn0283461",387
"FBgn0023213",5905.66666666667
"FBgn0035434",364
"FBgn0033830",1458
"FBgn0010388",554.5
"FBgn0015572",1749
"FBgn0034478",554
"FBgn0038880",4910.5
"FBgn0038865",1855
"FBgn0038860",2427.5
"FBgn0038845",1674
"FBgn0038839",2837.5
"FBgn0031689",1617
"FBgn0032972",443
"FBgn0020660",1543.25
"FBgn0028570",464.5
"FBgn0028858",1005
"FBgn0037240",4742
"FBgn0026259",4169.2
"FBgn0038163",2404.5
"FBgn0015037",1680
"FBgn0033397",1667
"FBgn0011286",15877
"FBgn0039246",1933
"FBgn0040228",730
"FBgn0004875",7528.28571428571
"FBgn0035471",1105
"FBgn0041147",2408
"FBgn0004587",2419.2
"FBgn0015585",358.5
"FBgn0035478",588
"FBgn0035461",1572
"FBgn0035458",1381
"FBgn0032520",2099
"FBgn0036255",469
"FBgn0035455",1201
"FBgn0027552",1089
"FBgn0038621",1552
"FBgn0035475",1605.5
"FBgn0004882",4181.42857142857
"FBgn0031347",2227
"FBgn0031395",1437.5
"FBgn0038804",1582
"FBgn0283535",2455.33333333333
"FBgn0031398",1283.5
"FBgn0038796",979
"FBgn0262126",4379
"FBgn0038773",2188
"FBgn0003249",1391
"FBgn0038769",2176
"FBgn0261393",2122
"FBgn0002887",3897.5
"FBgn0019686",2202.25
"FBgn0033636",9218.2
"FBgn0037911",1969
"FBgn0039235",966.5
"FBgn0037238",3351.25
"FBgn0003015",2696
"FBgn0037543",1144
"FBgn0034945",1010
"FBgn0036207",1610
"FBgn0267972",1165.5
"FBgn0038090",1173
"FBgn0037470",1895.66666666667
"FBgn0034289",1991
"FBgn0034295",1221
"FBgn0034296",910
"FBgn0028983",1297
"FBgn0034307",2054
"FBgn0034308",3091.5
"FBgn0034312",1536
"FBgn0000658",3551
"FBgn0031178",643
"FBgn0037514",775
"FBgn0037228",1401
"FBgn0029963",1764
"FBgn0011638",1549
"FBgn0004379",2961.33333333333
"FBgn0034356",2734
"FBgn0034360",1166
"FBgn0003140",1128.5
"FBgn0034274",1202
"FBgn0029969",1586.5
"FBgn0034264",1402
"FBgn0034263",1043
"FBgn0034253",5377
"FBgn0016697",878.5
"FBgn0010620",1717
"FBgn0036320",1150
"FBgn0261592",1077.5
"FBgn0029974",2731
"FBgn0032857",2366.33333333333
"FBgn0036317",2857
"FBgn0032858",1614
"FBgn0034205",1904
"FBgn0045980",2791
"FBgn0000535",6947.42857142857
"FBgn0034204",1231.5
"FBgn0032859",1957.5
"FBgn0034722",2847
"FBgn0034195",1279
"FBgn0030004",2683
"FBgn0030010",1833
"FBgn0036316",2662.33333333333
"FBgn0265464",2788
"FBgn0030073",1074
"FBgn0030026",1433
"FBgn0030028",1150
"FBgn0260945",3767
"FBgn0036310",2348
"FBgn0030078",1199.5
"FBgn0036309",4096
"FBgn0034730",1710
"FBgn0036306",1032
"FBgn0014007",5166.5
"FBgn0037374",1376.5
"FBgn0037379",4037.5
"FBgn0027497",3639
"FBgn0037384",1626
"FBgn0036305",2281.75
"FBgn0001087",3997.66666666667
"FBgn0001612",3571
"FBgn0023388",4404.33333333333
"FBgn0030520",3010.5
"FBgn0030521",1509.5
"FBgn0030524",715
"FBgn0030525",1250
"FBgn0030529",1594
"FBgn0031142",2140
"FBgn0028690",1897
"FBgn0263353",4575.5
"FBgn0013954",633
"FBgn0262714",4094.5
"FBgn0034455",1364
"FBgn0036318",1503.5
"FBgn0010774",1328
"FBgn0036319",3187.33333333333
"FBgn0026756",1623
"FBgn0031830",649.5
"FBgn0034464",1250
"FBgn0027930",1487
"FBgn0016920",6531.8
"FBgn0031208",1842
"FBgn0000318",659.333333333333
"FBgn0028372",2249.33333333333
"FBgn0013749",824
"FBgn0031735",1805
"FBgn0037235",1283
"FBgn0031736",2986.5
"FBgn0037659",5300.25
"FBgn0031741",2456
"FBgn0037544",1375.5
"FBgn0037038",913
"FBgn0037467",2528
"FBgn0034481",537
"FBgn0031831",647
"FBgn0034484",2041
"FBgn0034487",2572
"FBgn0005561",3746.28571428571
"FBgn0037465",1796
"FBgn0031836",2036.33333333333
"FBgn0040813",504.666666666667
"FBgn0040524",708.25
"FBgn0034491",3563
"FBgn0039928",4334.5
"FBgn0010225",2803
"FBgn0033149",2312
"FBgn0034697",2721
"FBgn0024913",3671
"FBgn0030530",2687.5
"FBgn0087002",10598.25
"FBgn0033033",3216.5
"FBgn0030536",1270
"FBgn0039244",2038
"FBgn0037218",4321.5
"FBgn0028467",3391
"FBgn0034693",2714.6
"FBgn0039929",1229
"FBgn0039930",687
"FBgn0015574",1836
"FBgn0025741",6797
"FBgn0003090",4524.66666666667
"FBgn0030408",1544
"FBgn0033153",1495
"FBgn0039241",2233.5
"FBgn0046222",2791.5
"FBgn0027537",2786
"FBgn0039932",2776.33333333333
"FBgn0000504",4241.16666666667
"FBgn0030528",1121
"FBgn0031842",4620.33333333333
"FBgn0034485",2246
"FBgn0037207",2255
"FBgn0003174",5378.5
"FBgn0030522",923
"FBgn0030280",535
"FBgn0033160",2678.5
"FBgn0037200",1430
"FBgn0034535",752
"FBgn0003218",5506.81818181818
"FBgn0033164",676
"FBgn0033165",453
"FBgn0037202",1663
"FBgn0015575",2017
"FBgn0039250",2511
"FBgn0003460",2786
"FBgn0030266",12204
"FBgn0033169",2122
"FBgn0033170",780
"FBgn0033174",1887
"FBgn0033178",1484
"FBgn0037203",2640
"FBgn0004047",1678
"FBgn0037304",1865.5
"FBgn0020909",1301
"FBgn0037204",1164
"FBgn0034537",1584
"FBgn0037205",3559
"FBgn0030518",907
"FBgn0034540",3660
"FBgn0037199",800.5
"FBgn0030400",4918.33333333333
"FBgn0033179",1432
"FBgn0010548",2232.58333333333
"FBgn0033177",2831
"FBgn0031737",996
"FBgn0025885",1986
"FBgn0019985",3781.5
"FBgn0033168",574
"FBgn0031734",2961.5
"FBgn0039936",4994.25
"FBgn0031732",1957
"FBgn0037299",1013.33333333333
"FBgn0030519",885.5
"FBgn0039937",2324
"FBgn0039938",3078.25
"FBgn0010217",1920.66666666667
"FBgn0039927",3869
"FBgn0002878",4868
"FBgn0030511",1608
"FBgn0034539",656
"FBgn0037297",1614
"FBgn0030257",2210.66666666667
"FBgn0030509",919
"FBgn0025693",2111.25
"FBgn0030507",1348.5
"FBgn0033238",627
"FBgn0033166",3044.25
"FBgn0039249",3019.25
"FBgn0034705",1145.33333333333
"FBgn0030505",5648.28571428571
"FBgn0034913",1212
"FBgn0034530",2854.5
"FBgn0030503",1480.5
"FBgn0030501",977
"FBgn0030499",3161
"FBgn0034528",2389
"FBgn0000392",4154
"FBgn0025334",942
"FBgn0034921",1369
"FBgn0034923",1740
"FBgn0019650",3078.5
"FBgn0031851",1703
"FBgn0004913",3241
"FBgn0030035",2521
"FBgn0033249",1379.5
"FBgn0034507",960
"FBgn0027788",1687
"FBgn0033248",999
"FBgn0033246",7868
"FBgn0046704",4933
"FBgn0035462",2272
"FBgn0034500",1490
"FBgn0031853",3017
"FBgn0021767",3242
"FBgn0003082",1826
"FBgn0034720",4518.6
"FBgn0030241",2424
"FBgn0034488",1984
"FBgn0034489",1625
"FBgn0015576",2646
"FBgn0033259",2863
"FBgn0033067",593
"FBgn0262867",3498.2
"FBgn0000360",1180.5
"FBgn0015614",1602
"FBgn0034470",756.5
"FBgn0024943",4089
"FBgn0031855",2350.5
"FBgn0037195",1103
"FBgn0031139",2481.66666666667
"FBgn0261456",2653.5
"FBgn0031860",1176.5
"FBgn0034452",4322
"FBgn0010830",2469
"FBgn0037290",1116
"FBgn0037186",2344.33333333333
"FBgn0034451",1166
"FBgn0037121",692
"FBgn0037120",2653.25
"FBgn0037117",2968.33333333333
"FBgn0037115",2110
"FBgn0036346",1389
"FBgn0266709",1497
"FBgn0016034",1892.75
"FBgn0036337",1604.66666666667
"FBgn0034442",1718
"FBgn0036335",602
"FBgn0036333",3357
"FBgn0037280",1228
"FBgn0036332",2215
"FBgn0036329",2284
"FBgn0036330",1041
"FBgn0030049",4874
"FBgn0031883",2550.14285714286
"FBgn0036334",594
"FBgn0036336",1174
"FBgn0034700",401
"FBgn0260441",613
"FBgn0036340",3862
"FBgn0034706",1664
"FBgn0011284",1118.66666666667
"FBgn0036341",1528
"FBgn0036342",1086.33333333333
"FBgn0015577",3340
"FBgn0010452",3365
"FBgn0086916",2232
"FBgn0023095",4787.75
"FBgn0030056",1933.4
"FBgn0037516",808.5
"FBgn0031887",1513
"FBgn0037279",1866.75
"FBgn0034975",7271.5
"FBgn0034713",1280
"FBgn0030058",1179.5
"FBgn0013548",2653
"FBgn0034721",569
"FBgn0034897",3331.5
"FBgn0004880",6358
"FBgn0034901",581
"FBgn0034726",711.5
"FBgn0020372",1783
"FBgn0039631",3058
"FBgn0037108",1778.5
"FBgn0037106",1423
"FBgn0002842",956
"FBgn0037070",1543.83333333333
"FBgn0015569",2045.66666666667
"FBgn0037067",876
"FBgn0011674",3887
"FBgn0039798",1217.5
"FBgn0039800",625.5
"FBgn0039801",713.333333333333
"FBgn0039816",1799.5
"FBgn0039818",2764
"FBgn0031835",5706
"FBgn0004895",1393
"FBgn0031837",1327
"FBgn0031857",5154.66666666667
"FBgn0031856",1765
"FBgn0031854",3076
"FBgn0025777",2246.66666666667
"FBgn0025595",2355.25
"FBgn0031850",2737.71428571429
"FBgn0031849",1808
"FBgn0028703",3146.66666666667
"FBgn0031848",932
"FBgn0003002",2939
"FBgn0000351",1621
"FBgn0028990",1926
"FBgn0039850",715
"FBgn0039849",1449.33333333333
"FBgn0039848",1435
"FBgn0039846",2724.5
"FBgn0035483",1434.5
"FBgn0039840",3029.5
"FBgn0035537",965
"FBgn0035546",923
"FBgn0035542",1895.125
"FBgn0000038",1639
"FBgn0035550",1970
"FBgn0263832",1947
"FBgn0035552",1497
"FBgn0027339",7807.85714285714
"FBgn0035557",3012.5
"FBgn0026411",2894.5
"FBgn0030375",777
"FBgn0035558",2675.75
"FBgn0035490",2704
"FBgn0039920",5090.5
"FBgn0034737",765
"FBgn0037185",1796
"FBgn0040923",361
"FBgn0029951",2478
"FBgn0037454",1363
"FBgn0037181",1315.5
"FBgn0067779",3833.4
"FBgn0031213",1591.8
"FBgn0040679",359
"FBgn0031214",1378
"FBgn0039227",5119
"FBgn0031216",6476
"FBgn0031217",1402
"FBgn0040364",1717.66666666667
"FBgn0040362",1085
"FBgn0037456",1398
"FBgn0040359",2752.5
"FBgn0029568",1603
"FBgn0040367",1814
"FBgn0040363",2159
"FBgn0004198",10816.75
"FBgn0034959",1639
"FBgn0035300",1578
"FBgn0011695",730
"FBgn0038732",1800
"FBgn0034200",1897
"FBgn0037022",1601
"FBgn0015391",4521
"FBgn0040366",2252.5
"FBgn0037021",4254
"FBgn0035298",1913.33333333333
"FBgn0034198",970.5
"FBgn0037170",1794
"FBgn0026876",2890
"FBgn0037169",801.5
"FBgn0028550",7008.33333333333
"FBgn0034990",2933
"FBgn0038733",1789
"FBgn0024366",4427
"FBgn0004650",6581
"FBgn0024362",2168
"FBgn0035022",602
"FBgn0035024",3139
"FBgn0024361",956
"FBgn0035025",2351
"FBgn0024364",2460
"FBgn0024360",1978.66666666667
"FBgn0034231",867
"FBgn0037504",911
"FBgn0000826",1114
"FBgn0011281",849
"FBgn0010403",528
"FBgn0034251",2143
"FBgn0037167",998
"FBgn0037166",1882
"FBgn0003210",4496
"FBgn0035359",1363.5
"FBgn0041585",3056.4
"FBgn0029713",1996
"FBgn0037165",992
"FBgn0037164",1851.5
"FBgn0037163",2316
"FBgn0029715",1181.5
"FBgn0038737",991
"FBgn0024985",3728.66666666667
"FBgn0037162",1617
"FBgn0002931",1943.5
"FBgn0037025",6108.5
"FBgn0038734",1831
"FBgn0031224",905
"FBgn0031228",618.7
"FBgn0037031",1664.33333333333
"FBgn0040637",537
"FBgn0037396",1268
"FBgn0035346",1836.5
"FBgn0038037",1758
"FBgn0037408",2653.5
"FBgn0039671",748.5
"FBgn0027086",3854.66666666667
"FBgn0034688",1648
"FBgn0034687",1562
"FBgn0037410",1438
"FBgn0011659",2069.5
"FBgn0035397",3468.8125
"FBgn0031231",903
"FBgn0025702",4018.09090909091
"FBgn0015770",3262
"FBgn0031233",3050.66666666667
"FBgn0283451",5097.21428571429
"FBgn0024194",1673
"FBgn0039749",2427
"FBgn0037411",1255
"FBgn0040623",493
"FBgn0039666",416
"FBgn0003651",3503.75
"FBgn0039733",1812
"FBgn0035424",8085.66666666667
"FBgn0027527",1695.5
"FBgn0010040",725
"FBgn0041164",3972
"FBgn0004369",5946.6
"FBgn0043900",4507
"FBgn0001112",2899
"FBgn0039857",938.5
"FBgn0037156",874
"FBgn0039858",3020.6
