FBgn0039596	CG10000	CG10000	FBtr0085315	2597	Drosophila melanogaster
FBgn0037482	CG10055	CG10055	FBtr0081605	2422	Drosophila melanogaster
FBgn0037481	CG10059	MAGE	FBtr0081606	943	Drosophila melanogaster
FBgn0001104	CG10060	Galphai	FBtr0076934	2067	Drosophila melanogaster
FBgn0011020	CG10061	Sas-4	FBtr0081569	2802	Drosophila melanogaster
FBgn0034439	CG10062	CG10062	FBtr0086522	3243	Drosophila melanogaster
FBgn0034439	CG10062	CG10062	FBtr0334005	3261	Drosophila melanogaster
FBgn0034439	CG10062	CG10062	FBtr0334006	2777	Drosophila melanogaster
FBgn0035727	CG10063	CG10063	FBtr0076935	827	Drosophila melanogaster
FBgn0035724	CG10064	CG10064	FBtr0076937	2379	Drosophila melanogaster
FBgn0000044	CG10067	Act57B	FBtr0071519	1724	Drosophila melanogaster
FBgn0037473	CG10068	CG10068	FBtr0081611	1657	Drosophila melanogaster
FBgn0034611	CG10069	MFS16	FBtr0071589	2226	Drosophila melanogaster
FBgn0034611	CG10069	MFS16	FBtr0071590	2399	Drosophila melanogaster
FBgn0034611	CG10069	MFS16	FBtr0071591	2563	Drosophila melanogaster
FBgn0034611	CG10069	MFS16	FBtr0342884	2281	Drosophila melanogaster
FBgn0000575	CG1007	emc	FBtr0072578	2049	Drosophila melanogaster
FBgn0016726	CG10071	RpL29	FBtr0071592	329	Drosophila melanogaster
FBgn0016726	CG10071	RpL29	FBtr0071593	389	Drosophila melanogaster
FBgn0016726	CG10071	RpL29	FBtr0305669	304	Drosophila melanogaster
FBgn0261445	CG10072	sgl	FBtr0076938	2275	Drosophila melanogaster
FBgn0034440	CG10073	CG10073	FBtr0086523	2751	Drosophila melanogaster
FBgn0034440	CG10073	CG10073	FBtr0310321	2747	Drosophila melanogaster
FBgn0035722	CG10075	CG10075	FBtr0076939	924	Drosophila melanogaster
FBgn0003475	CG10076	spir	FBtr0081352	4881	Drosophila melanogaster
FBgn0003475	CG10076	spir	FBtr0081353	4794	Drosophila melanogaster
FBgn0003475	CG10076	spir	FBtr0081354	2666	Drosophila melanogaster
FBgn0003475	CG10076	spir	FBtr0081355	3437	Drosophila melanogaster
FBgn0003475	CG10076	spir	FBtr0301884	4791	Drosophila melanogaster
FBgn0003475	CG10076	spir	FBtr0306556	4875	Drosophila melanogaster
FBgn0003475	CG10076	spir	FBtr0307893	2669	Drosophila melanogaster
FBgn0003475	CG10076	spir	FBtr0307894	2182	Drosophila melanogaster
FBgn0003475	CG10076	spir	FBtr0339233	2212	Drosophila melanogaster
FBgn0003475	CG10076	spir	FBtr0339234	5598	Drosophila melanogaster
FBgn0035720	CG10077	CG10077	FBtr0076940	3543	Drosophila melanogaster
FBgn0035720	CG10077	CG10077	FBtr0300937	3634	Drosophila melanogaster
FBgn0035720	CG10077	CG10077	FBtr0333083	3420	Drosophila melanogaster
FBgn0041194	CG10078	Prat2	FBtr0076945	1932	Drosophila melanogaster
FBgn0041194	CG10078	Prat2	FBtr0076946	1737	Drosophila melanogaster
FBgn0003731	CG10079	Egfr	FBtr0071653	5698	Drosophila melanogaster
FBgn0003731	CG10079	Egfr	FBtr0071654	6124	Drosophila melanogaster
FBgn0034641	CG10080	mahj	FBtr0071658	5200	Drosophila melanogaster
FBgn0034641	CG10080	mahj	FBtr0304728	5346	Drosophila melanogaster
FBgn0034441	CG10081	CG10081	FBtr0086524	2738	Drosophila melanogaster
FBgn0034441	CG10081	CG10081	FBtr0334007	2732	Drosophila melanogaster
FBgn0034644	CG10082	CG10082	FBtr0071661	4001	Drosophila melanogaster
FBgn0034644	CG10082	CG10082	FBtr0071662	2795	Drosophila melanogaster
FBgn0036372	CG10083	Abp1	FBtr0075819	2500	Drosophila melanogaster
FBgn0002044	CG10084	swm	FBtr0081244	4005	Drosophila melanogaster
FBgn0002044	CG10084	swm	FBtr0081245	4114	Drosophila melanogaster
FBgn0002044	CG10084	swm	FBtr0331325	4151	Drosophila melanogaster
FBgn0002044	CG10084	swm	FBtr0331326	3974	Drosophila melanogaster
FBgn0037517	CG10086	CG10086	FBtr0081744	1864	Drosophila melanogaster
FBgn0036369	CG10089	CG10089	FBtr0075820	2045	Drosophila melanogaster
FBgn0036369	CG10089	CG10089	FBtr0075821	1518	Drosophila melanogaster
FBgn0036369	CG10089	CG10089	FBtr0075822	1569	Drosophila melanogaster
FBgn0036369	CG10089	CG10089	FBtr0075823	1070	Drosophila melanogaster
FBgn0036369	CG10089	CG10089	FBtr0331535	3283	Drosophila melanogaster
FBgn0036369	CG10089	CG10089	FBtr0345364	2289	Drosophila melanogaster
FBgn0261243	CG1009	Psa	FBtr0072697	3698	Drosophila melanogaster
FBgn0261243	CG1009	Psa	FBtr0072698	3659	Drosophila melanogaster
FBgn0261243	CG1009	Psa	FBtr0072699	3781	Drosophila melanogaster
FBgn0261243	CG1009	Psa	FBtr0072700	3916	Drosophila melanogaster
FBgn0261243	CG1009	Psa	FBtr0072701	3715	Drosophila melanogaster
FBgn0261243	CG1009	Psa	FBtr0072702	3452	Drosophila melanogaster
FBgn0261243	CG1009	Psa	FBtr0306557	3628	Drosophila melanogaster
FBgn0261243	CG1009	Psa	FBtr0333395	3665	Drosophila melanogaster
FBgn0038018	CG10090	Tim17a1	FBtr0082610	1014	Drosophila melanogaster
FBgn0038018	CG10090	Tim17a1	FBtr0344388	897	Drosophila melanogaster
FBgn0038020	CG10091	GstD9	FBtr0082608	775	Drosophila melanogaster
FBgn0038020	CG10091	GstD9	FBtr0344263	786	Drosophila melanogaster
FBgn0037526	CG10092	ArgRS-m	FBtr0081752	1934	Drosophila melanogaster
FBgn0037526	CG10092	ArgRS-m	FBtr0333826	2748	Drosophila melanogaster
FBgn0038007	CG10093	Cyp313a3	FBtr0082617	1777	Drosophila melanogaster
FBgn0038006	CG10094	Cyp313a2	FBtr0308561	1577	Drosophila melanogaster
FBgn0037993	CG10095	dpr15	FBtr0082549	3490	Drosophila melanogaster
FBgn0037993	CG10095	dpr15	FBtr0339647	3474	Drosophila melanogaster
FBgn0038032	CG10096	CG10096	FBtr0082603	4716	Drosophila melanogaster
FBgn0038032	CG10096	CG10096	FBtr0082604	1841	Drosophila melanogaster
FBgn0038032	CG10096	CG10096	FBtr0347002	5233	Drosophila melanogaster
FBgn0038032	CG10096	CG10096	FBtr0347003	2358	Drosophila melanogaster
FBgn0038033	CG10097	CG10097	FBtr0100525	1754	Drosophila melanogaster
FBgn0038033	CG10097	CG10097	FBtr0344386	4716	Drosophila melanogaster
FBgn0038033	CG10097	CG10097	FBtr0347004	5233	Drosophila melanogaster
FBgn0037472	CG10098	CG10098	FBtr0081563	1532	Drosophila melanogaster
FBgn0037501	CG10101	Ir84a	FBtr0336955	1935	Drosophila melanogaster
FBgn0035715	CG10103	CG10103	FBtr0076949	1605	Drosophila melanogaster
FBgn0035715	CG10103	CG10103	FBtr0330061	1554	Drosophila melanogaster
FBgn0035715	CG10103	CG10103	FBtr0330062	1542	Drosophila melanogaster
FBgn0035715	CG10103	CG10103	FBtr0330063	1491	Drosophila melanogaster
FBgn0035715	CG10103	CG10103	FBtr0330064	1506	Drosophila melanogaster
FBgn0035715	CG10103	CG10103	FBtr0330065	1189	Drosophila melanogaster
FBgn0033933	CG10104	CG10104	FBtr0087486	1514	Drosophila melanogaster
FBgn0033935	CG10105	Sin1	FBtr0087487	2027	Drosophila melanogaster
FBgn0029506	CG10106	Tsp42Ee	FBtr0086180	1394	Drosophila melanogaster
FBgn0029506	CG10106	Tsp42Ee	FBtr0336871	1381	Drosophila melanogaster
FBgn0035713	CG10107	velo	FBtr0076950	6318	Drosophila melanogaster
FBgn0035713	CG10107	velo	FBtr0076951	2691	Drosophila melanogaster
FBgn0035713	CG10107	velo	FBtr0076952	6333	Drosophila melanogaster
FBgn0035713	CG10107	velo	FBtr0345025	2490	Drosophila melanogaster
FBgn0013725	CG10108	phyl	FBtr0087516	1839	Drosophila melanogaster
FBgn0024698	CG10110	Cpsf160	FBtr0089257	4504	Drosophila melanogaster
FBgn0024698	CG10110	Cpsf160	FBtr0089258	4845	Drosophila melanogaster
FBgn0033942	CG10112	Cpr51A	FBtr0087514	651	Drosophila melanogaster
FBgn0037502	CG10113	wa-cup	FBtr0301649	1878	Drosophila melanogaster
FBgn0036367	CG10116	CG10116	FBtr0075824	918	Drosophila melanogaster
FBgn0265974	CG10117	ttv	FBtr0087495	3994	Drosophila melanogaster
FBgn0265974	CG10117	ttv	FBtr0333164	6899	Drosophila melanogaster
FBgn0265974	CG10117	ttv	FBtr0333165	2351	Drosophila melanogaster
FBgn0005626	CG10118	ple	FBtr0076956	2911	Drosophila melanogaster
FBgn0005626	CG10118	ple	FBtr0076957	3124	Drosophila melanogaster
FBgn0005626	CG10118	ple	FBtr0345585	3806	Drosophila melanogaster
FBgn0010397	CG10119	LamC	FBtr0087512	2367	Drosophila melanogaster
FBgn0010397	CG10119	LamC	FBtr0333166	2450	Drosophila melanogaster
FBgn0002719	CG10120	Men	FBtr0082660	2906	Drosophila melanogaster
FBgn0002719	CG10120	Men	FBtr0082661	2767	Drosophila melanogaster
FBgn0002719	CG10120	Men	FBtr0330025	2364	Drosophila melanogaster
FBgn0035710	CG10121	SP1173	FBtr0076958	3571	Drosophila melanogaster
FBgn0035710	CG10121	SP1173	FBtr0076959	3661	Drosophila melanogaster
FBgn0035710	CG10121	SP1173	FBtr0076960	2832	Drosophila melanogaster
FBgn0035710	CG10121	SP1173	FBtr0076961	3066	Drosophila melanogaster
FBgn0019938	CG10122	RpI1	FBtr0087511	5078	Drosophila melanogaster
FBgn0040268	CG10123	Top3alpha	FBtr0081246	3925	Drosophila melanogaster
FBgn0035709	CG10124	eIF4E4	FBtr0076963	1031	Drosophila melanogaster
FBgn0024177	CG10125	zpg	FBtr0076983	1455	Drosophila melanogaster
FBgn0024177	CG10125	zpg	FBtr0330185	1539	Drosophila melanogaster
FBgn0038088	CG10126	CG10126	FBtr0082686	907	Drosophila melanogaster
FBgn0038088	CG10126	CG10126	FBtr0082687	835	Drosophila melanogaster
FBgn0003742	CG10128	tra2	FBtr0089615	1228	Drosophila melanogaster
FBgn0003742	CG10128	tra2	FBtr0089616	1460	Drosophila melanogaster
FBgn0003742	CG10128	tra2	FBtr0089617	1376	Drosophila melanogaster
FBgn0003742	CG10128	tra2	FBtr0089618	1405	Drosophila melanogaster
FBgn0003742	CG10128	tra2	FBtr0089619	1568	Drosophila melanogaster
FBgn0003742	CG10128	tra2	FBtr0089620	1381	Drosophila melanogaster
FBgn0003742	CG10128	tra2	FBtr0089621	1391	Drosophila melanogaster
FBgn0002926	CG10129	ndl	FBtr0076984	8230	Drosophila melanogaster
FBgn0010638	CG10130	Sec61beta	FBtr0087498	792	Drosophila melanogaster
FBgn0033949	CG10131	CG10131	FBtr0087499	1058	Drosophila melanogaster
FBgn0032798	CG10132	CG10132	FBtr0081247	4685	Drosophila melanogaster
FBgn0032798	CG10132	CG10132	FBtr0343771	4570	Drosophila melanogaster
FBgn0036366	CG10133	CG10133	FBtr0075825	1097	Drosophila melanogaster
FBgn0038087	CG10134	beat-Va	FBtr0082688	2438	Drosophila melanogaster
FBgn0038087	CG10134	beat-Va	FBtr0302367	1909	Drosophila melanogaster
FBgn0038087	CG10134	beat-Va	FBtr0337093	3196	Drosophila melanogaster
FBgn0032800	CG10137	CG10137	FBtr0081248	3227	Drosophila melanogaster
FBgn0005778	CG10138	PpD5	FBtr0071806	1279	Drosophila melanogaster
FBgn0033951	CG10139	CG10139	FBtr0087433	825	Drosophila melanogaster
FBgn0033951	CG10139	CG10139	FBtr0339980	954	Drosophila melanogaster
FBgn0028567	CG1014	robl62A	FBtr0072695	751	Drosophila melanogaster
FBgn0028567	CG1014	robl62A	FBtr0332655	591	Drosophila melanogaster
FBgn0036363	CG10140	CG10140	FBtr0075853	969	Drosophila melanogaster
FBgn0035076	CG10142	Ance-5	FBtr0072420	2116	Drosophila melanogaster
FBgn0033952	CG10143	Adgf-E	FBtr0087482	1791	Drosophila melanogaster
FBgn0035704	CG10144	Vps8	FBtr0076986	3885	Drosophila melanogaster
FBgn0020269	CG10145	mspo	FBtr0087477	2574	Drosophila melanogaster
FBgn0020269	CG10145	mspo	FBtr0345427	3131	Drosophila melanogaster
FBgn0012042	CG10146	AttA	FBtr0087437	790	Drosophila melanogaster
FBgn0035702	CG10147	CG10147	FBtr0076987	1768	Drosophila melanogaster
FBgn0035702	CG10147	CG10147	FBtr0333060	2198	Drosophila melanogaster
FBgn0028689	CG10149	Rpn6	FBtr0087474	1612	Drosophila melanogaster
FBgn0028689	CG10149	Rpn6	FBtr0087475	1827	Drosophila melanogaster
FBgn0028689	CG10149	Rpn6	FBtr0306558	1662	Drosophila melanogaster
FBgn0033960	CG10151	CG10151	FBtr0087471	2212	Drosophila melanogaster
FBgn0033960	CG10151	CG10151	FBtr0087472	2353	Drosophila melanogaster
FBgn0033960	CG10151	CG10151	FBtr0087473	2223	Drosophila melanogaster
FBgn0033960	CG10151	CG10151	FBtr0289934	2389	Drosophila melanogaster
FBgn0039089	CG10152	beat-IV	FBtr0084433	2827	Drosophila melanogaster
FBgn0039089	CG10152	beat-IV	FBtr0332427	3278	Drosophila melanogaster
FBgn0266723	CG10153	Trs31	FBtr0087470	666	Drosophila melanogaster
FBgn0036361	CG10154	CG10154	FBtr0075854	1165	Drosophila melanogaster
FBgn0036361	CG10154	CG10154	FBtr0303093	1023	Drosophila melanogaster
FBgn0020767	CG10155	Spred	FBtr0087468	2657	Drosophila melanogaster
FBgn0020767	CG10155	Spred	FBtr0329879	2525	Drosophila melanogaster
FBgn0020767	CG10155	Spred	FBtr0329880	4167	Drosophila melanogaster
FBgn0039099	CG10157	GILT2	FBtr0084435	712	Drosophila melanogaster
FBgn0031871	CG10158	Fgop2	FBtr0079366	1486	Drosophila melanogaster
FBgn0031871	CG10158	Fgop2	FBtr0332325	2048	Drosophila melanogaster
FBgn0015602	CG10159	BEAF-32	FBtr0087441	1192	Drosophila melanogaster
FBgn0015602	CG10159	BEAF-32	FBtr0087442	1173	Drosophila melanogaster
FBgn0015602	CG10159	BEAF-32	FBtr0305588	1558	Drosophila melanogaster
FBgn0001258	CG10160	ImpL3	FBtr0077008	1391	Drosophila melanogaster
FBgn0001258	CG10160	ImpL3	FBtr0332065	1778	Drosophila melanogaster
FBgn0001258	CG10160	ImpL3	FBtr0332066	1324	Drosophila melanogaster
FBgn0001258	CG10160	ImpL3	FBtr0332067	1350	Drosophila melanogaster
FBgn0040227	CG10161	eIF3d1	FBtr0089622	2012	Drosophila melanogaster
FBgn0035697	CG10163	CG10163	FBtr0077009	1220	Drosophila melanogaster
FBgn0039088	CG10164	CG10164	FBtr0084417	1933	Drosophila melanogaster
FBgn0039088	CG10164	CG10164	FBtr0300585	2401	Drosophila melanogaster
FBgn0032801	CG10165	CG10165	FBtr0081277	1116	Drosophila melanogaster
FBgn0032801	CG10165	CG10165	FBtr0081278	1342	Drosophila melanogaster
FBgn0032801	CG10165	CG10165	FBtr0303779	1308	Drosophila melanogaster
FBgn0032801	CG10165	CG10165	FBtr0303780	1440	Drosophila melanogaster
FBgn0032801	CG10165	CG10165	FBtr0344843	854	Drosophila melanogaster
FBgn0032799	CG10166	CG10166	FBtr0081279	810	Drosophila melanogaster
FBgn0039087	CG10168	CG10168	FBtr0084418	1856	Drosophila melanogaster
FBgn0035294	CG1017	Mfap1	FBtr0072841	1682	Drosophila melanogaster
FBgn0039085	CG10170	CG10170	FBtr0084420	1764	Drosophila melanogaster
FBgn0036353	CG10171	CG10171	FBtr0075864	1611	Drosophila melanogaster
FBgn0036353	CG10171	CG10171	FBtr0075865	1845	Drosophila melanogaster
FBgn0035696	CG10173	Best2	FBtr0077010	3547	Drosophila melanogaster
FBgn0032680	CG10174	Ntf-2r	FBtr0081063	771	Drosophila melanogaster
FBgn0039084	CG10175	CG10175	FBtr0084421	2370	Drosophila melanogaster
FBgn0039084	CG10175	CG10175	FBtr0084422	2876	Drosophila melanogaster
FBgn0039084	CG10175	CG10175	FBtr0084423	2463	Drosophila melanogaster
FBgn0039084	CG10175	CG10175	FBtr0339621	2726	Drosophila melanogaster
FBgn0039084	CG10175	CG10175	FBtr0344701	2809	Drosophila melanogaster
FBgn0032682	CG10176	grnd	FBtr0300674	1789	Drosophila melanogaster
FBgn0032682	CG10176	grnd	FBtr0332321	2100	Drosophila melanogaster
FBgn0039083	CG10177	CG10177	FBtr0084424	1438	Drosophila melanogaster
FBgn0032684	CG10178	CG10178	FBtr0081068	1956	Drosophila melanogaster
FBgn0032684	CG10178	CG10178	FBtr0305619	1915	Drosophila melanogaster
FBgn0004513	CG10181	Mdr65	FBtr0077011	4135	Drosophila melanogaster
FBgn0039091	CG10182	CG10182	FBtr0084486	2212	Drosophila melanogaster
FBgn0039093	CG10183	CG10183	FBtr0273191	2058	Drosophila melanogaster
FBgn0039094	CG10184	CG10184	FBtr0084481	1330	Drosophila melanogaster
FBgn0038397	CG10185	CG10185	FBtr0083235	5379	Drosophila melanogaster
FBgn0032797	CG10186	Hasp	FBtr0081280	5680	Drosophila melanogaster
FBgn0032797	CG10186	Hasp	FBtr0081281	4949	Drosophila melanogaster
FBgn0032797	CG10186	Hasp	FBtr0299519	1440	Drosophila melanogaster
FBgn0032797	CG10186	Hasp	FBtr0302107	5683	Drosophila melanogaster
FBgn0032797	CG10186	Hasp	FBtr0302108	5429	Drosophila melanogaster
FBgn0032796	CG10188	CG10188	FBtr0081282	5216	Drosophila melanogaster
FBgn0032796	CG10188	CG10188	FBtr0081283	5302	Drosophila melanogaster
FBgn0032796	CG10188	CG10188	FBtr0329963	5242	Drosophila melanogaster
FBgn0032793	CG10189	CG10189	FBtr0081284	1317	Drosophila melanogaster
FBgn0032793	CG10189	CG10189	FBtr0331327	1349	Drosophila melanogaster
FBgn0014863	CG1019	Mlp84B	FBtr0081616	2399	Drosophila melanogaster
FBgn0014863	CG1019	Mlp84B	FBtr0081617	2382	Drosophila melanogaster
FBgn0014863	CG1019	Mlp84B	FBtr0346967	3071	Drosophila melanogaster
FBgn0036354	CG10191	Poc1	FBtr0075863	1641	Drosophila melanogaster
FBgn0036354	CG10191	Poc1	FBtr0321318	1497	Drosophila melanogaster
FBgn0260634	CG10192	eIF4G2	FBtr0089623	7297	Drosophila melanogaster
FBgn0260634	CG10192	eIF4G2	FBtr0344335	8889	Drosophila melanogaster
FBgn0032790	CG10194	CG10194	FBtr0081285	1215	Drosophila melanogaster
FBgn0032787	CG10195	CG10195	FBtr0302930	1473	Drosophila melanogaster
FBgn0032787	CG10195	CG10195	FBtr0332318	2118	Drosophila melanogaster
FBgn0001319	CG10197	kn	FBtr0087465	3460	Drosophila melanogaster
FBgn0001319	CG10197	kn	FBtr0112809	3926	Drosophila melanogaster
FBgn0001319	CG10197	kn	FBtr0112810	3339	Drosophila melanogaster
FBgn0001319	CG10197	kn	FBtr0301400	3457	Drosophila melanogaster
FBgn0001319	CG10197	kn	FBtr0329882	2927	Drosophila melanogaster
FBgn0039120	CG10198	Nup98-96	FBtr0084460	6624	Drosophila melanogaster
FBgn0039120	CG10198	Nup98-96	FBtr0304567	3987	Drosophila melanogaster
FBgn0039120	CG10198	Nup98-96	FBtr0334894	6412	Drosophila melanogaster
FBgn0033968	CG10200	hui	FBtr0087444	734	Drosophila melanogaster
FBgn0033968	CG10200	hui	FBtr0087445	821	Drosophila melanogaster
FBgn0033969	CG10202	CG10202	FBtr0087464	2059	Drosophila melanogaster
FBgn0028554	CG10203	x16	FBtr0079368	1707	Drosophila melanogaster
FBgn0028554	CG10203	x16	FBtr0332328	1784	Drosophila melanogaster
FBgn0033970	CG10205	CG10205	FBtr0087446	848	Drosophila melanogaster
FBgn0033970	CG10205	CG10205	FBtr0087447	904	Drosophila melanogaster
FBgn0026196	CG10206	nop5	FBtr0079369	1813	Drosophila melanogaster
FBgn0016684	CG10207	NaPi-T	FBtr0087463	2660	Drosophila melanogaster
FBgn0016684	CG10207	NaPi-T	FBtr0329884	1918	Drosophila melanogaster
FBgn0039118	CG10208	CG10208	FBtr0084461	1064	Drosophila melanogaster
FBgn0033971	CG10209	CG10209	FBtr0087462	2024	Drosophila melanogaster
FBgn0033971	CG10209	CG10209	FBtr0329883	2024	Drosophila melanogaster
FBgn0037443	CG1021	Dmtn	FBtr0289939	3827	Drosophila melanogaster
FBgn0037443	CG1021	Dmtn	FBtr0289940	3463	Drosophila melanogaster
